,text,first_cates,sec_cates,cates
24,"Нарушение установленного законом порядка представления сведений об избирателях, участниках референдума либо представление недостоверных сведений об избирателях, участниках референдума соответствующим избирательным комиссиям должностным лицом, на которое законом возложена эта обязанность, - влечет наложение административного штрафа на должностных лиц в размере от одной тысячи до пяти тысяч рублей.",BAN,AUTH,"BAN,AUTH"
25,"Сотрудник полиции имеет право применять служебное огнестрельное оружие ограниченного поражения во всех случаях, предусмотренных частями 1 и 3 настоящей статьи, а также в случаях, предусмотренных пунктами 3, 4, 7 и 8 части 1 статьи 21 настоящего Федерального закона.",ALLOW,NON,"ALLOW,NON"
26,Порядок создания и компетенция профессиональных союзов (ассоциаций) сотрудников полиции устанавливаются законодательством Российской Федерации.,DEC,UNCHECKED,"DEC,UNCHECKED"
27,"В срок, исчисляемый в календарных неделях или днях, включаются и нерабочие дни.",OTHER,NON,"OTHER,NON"
28,"На территории Российской Федерации запрещаются:  оборот в качестве гражданского и служебного оружия: огнестрельного гладкоствольного оружия, изготовленного под патроны к огнестрельному оружию с нарезным стволом;",BAN,AUTH,"BAN,AUTH"
29,"Отношения, возникающие в области охраны окружающей среды, в той мере, в какой это необходимо для обеспечения санитарно-эпидемиологического благополучия населения, регулируются законодательством о санитарно-эпидемиологическом благополучии населения и законодательством об охране здоровья, иным направленным на обеспечение благоприятной для человека окружающей среды законодательством.",DEC,CARE,"DEC,CARE"
30,"Дела о банкротстве юридических лиц и граждан, в том числе индивидуальных предпринимателей, рассматриваются арбитражным судом по правилам, предусмотренным Арбитражным процессуальным кодексом Российской Федерации, с особенностями, установленными настоящим Федеральным законом.",DEC,NON,"DEC,NON"
31,"Земли, указанные в пункте 1 настоящей статьи, используются в соответствии с установленным для них целевым назначением.",DUTY,NON,"DUTY,NON"
32,избрания на должность;,DEC,NON,"DEC,NON"
33,"Арбитражный суд утверждает временного управляющего, кандидатура которого указана в признанном обоснованным заявлении о признании должника банкротом, либо временного управляющего или финансового управляющего, кандидатуры которых представлены саморегулируемой организацией арбитражных управляющих, указанной в таком заявлении.",DEC,NON,"DEC,NON"
34,для пресечения преступления;,GOAL,NON,"GOAL,NON"
35,"В информационных и развлекательных телепередачах телеканала, который в соответствии с лицензией на вещание распространяется на территориях менее чем половины субъектов Российской Федерации, дополнительная продолжительность совмещения рекламы с каждой такой телепередачей способом ""бегущей строки"" не может превышать пятнадцать процентов времени вещания в течение часа сверх продолжительности рекламы в телепрограмме, предусмотренной частями 3 и 3.4 настоящей статьи.",ALLOW,CARE,"ALLOW,CARE"
36,"Полиция в соответствии с законодательством Российской Федерации предоставляет сведения о своей деятельности средствам массовой информации по официальным запросам их редакций, а также путем проведения пресс-конференций, рассылки справочных и статистических материалов и в иных формах.",DEC,NON,"DEC,NON"
37,"В случае, если выполнение работы (оказание услуги) осуществляется по частям (доставка периодической печати, техническое обслуживание) в течение срока действия договора о выполнении работ (оказании услуг), должны предусматриваться соответствующие сроки (периоды) выполнения таких работ (оказания услуг).",DUTY,NON,"DUTY,NON"
38,"сведения об информационной системе (информационных системах), с использованием которой работодатель будет осуществлять электронный документооборот;",OTHER,NON,"OTHER,NON"
39,"Исполнитель обязан выполнить работу, определенную договором о выполнении работы, из своего материала и своими средствами, если иное не предусмотрено договором.",DUTY,NON,"DUTY,NON"
40,"Федеральный орган исполнительной власти, ведающий вопросами иностранных дел, и дипломатические представительства и консульские учреждения Российской Федерации, находящиеся за пределами Российской Федерации: в) проверяют факты и представленные для обоснования заявлений по вопросам гражданства Российской Федерации документы и в случае необходимости запрашивают дополнительные сведения в соответствующих государственных органах",DUTY,NON,"DUTY,NON"
41,Форма заявления о приеме в гражданство Российской Федерации и перечень прилагаемых к нему документов определяются в соответствии со статьей 33 настоящего Федерального закона.,OTHER,NON,"OTHER,NON"
42,"В настоящем Федеральном законе используются следующие основные понятия: уничтожение озоноразрушающих веществ - процесс разрушения озоноразрушающих веществ, приводящий к их разложению или превращению в вещества, не являющиеся озоноразрушающими веществами;",DEF,NON,"DEF,NON"
43,Обращение с животными основывается на следующих нравственных принципах и принципах гуманности: 3) воспитание у населения нравственного и гуманного отношения к животным;,DEC,CARE,"DEC,CARE"
44,"Исключительно в соответствии с утвержденным проектом межевания территории осуществляется образование земельных участков: 1) из земельного участка, предоставленного для комплексного развития территории;",DUTY,NON,"DUTY,NON"
45,"К полномочиям производственного совета не могут относиться вопросы, решение которых в соответствии с федеральными законами отнесено к исключительной компетенции органов управления организации, а также вопросы представительства и защиты социально-трудовых прав и интересов работников, решение которых в соответствии с настоящим Кодексом и иными федеральными законами отнесено к компетенции профессиональных союзов, соответствующих первичных профсоюзных организаций, иных представителей работников.",BAN,FAIR,"BAN,FAIR"
46,К нормативам качества окружающей среды относятся: иные нормативы качества окружающей среды.,DEF,NON,"DEF,NON"
47,"В настоящем Федеральном законе используются следующие основные понятия: вещества, разрушающие озоновый слой (далее - озоноразрушающие вещества), - химические вещества и их смеси, перечень которых определяется Правительством Российской Федерации в соответствии с международными договорами Российской Федерации в области охраны озонового слоя атмосферы;",DEF,NON,"DEF,NON"
48,"В случае, если подготовку схемы расположения земельного участка обеспечивает гражданин в целях образования земельного участка для его предоставления гражданину без проведения торгов, подготовка данной схемы может осуществляться по выбору указанного гражданина в форме электронного документа или в форме документа на бумажном носителе.",ALLOW,NON,"ALLOW,NON"
49,"Настоящий Кодекс и изданные в соответствии с ним иные акты земельного законодательства основываются на следующих принципах: 4) участие граждан, общественных организаций (объединений) и религиозных организаций в решении вопросов, касающихся их прав на землю, согласно которому граждане Российской Федерации, общественные организации (объединения) и религиозные организации имеют право принимать участие в подготовке решений, реализация которых может оказать воздействие на состояние земель при их использовании и охране, а органы государственной власти, органы местного самоуправления, субъекты хозяйственной и иной деятельности обязаны обеспечить возможность такого участия в порядке и в формах, которые установлены законодательством",DEC,CARE,"DEC,CARE"
50,"Обработка указанных в части 1 настоящей статьи специальных категорий персональных данных допускается в случаях, если: 8) обработка персональных данных осуществляется в соответствии с законодательством об обязательных видах страхования, со страховым законодательством;",ALLOW,NON,"ALLOW,NON"
51,"предоставляют оператору информационной системы, к полномочиям которого относятся формирование и актуализация классификатора, перечень мер социальной защиты (поддержки), социальных услуг, предоставляемых в рамках социального обслуживания и государственной социальной помощи, иных социальных гарантий и выплат, перечень участников информационного взаимодействия и другую информацию для формирования и актуализации классификатора;",DUTY,NON,"DUTY,NON"
52,"Охрана земель представляет собой деятельность органов государственной власти, органов местного самоуправления, юридических и физических лиц, направленную на сохранение земли как важнейшего компонента окружающей среды и природного ресурса.",DEF,CARE,"DEF,CARE"
53,"производство по делам об административных правонарушениях, исполнение административных наказаний;",GOAL,UNCHECKED,"GOAL,UNCHECKED"
54,"Сотрудник полиции независимо от замещаемой должности, места нахождения и времени суток обязан:",DUTY,NON,"DUTY,NON"
55,"4. По представлении свидетельства о смерти лица, совершившего закрытое завещание, нотариус не позднее чем через пятнадцать дней со дня представления свидетельства вскрывает конверт с завещанием в присутствии не менее чем двух свидетелей и пожелавших при этом присутствовать заинтересованных лиц из числа наследников по закону. После вскрытия конверта текст содержащегося в нем завещания сразу же оглашается нотариусом, после чего нотариус составляет и вместе со свидетелями подписывает протокол, удостоверяющий вскрытие конверта с завещанием и содержащий полный текст завещания. Подлинник завещания хранится у нотариуса. Наследникам выдается нотариально удостоверенная копия протокола.",OTHER,NON,"OTHER,NON"
56,<...> а также правовое регулирование трудовых отношений и иных непосредственно связанных с ними отношений по: разрешению трудовых споров,DEC,FAIR,"DEC,FAIR"
57,Перечни таких документов утверждаются Правительством Российской Федерации.,OTHER,NON,"OTHER,NON"
58,Потребитель при обнаружении недостатков выполненной работы (оказанной соответствующего уменьшения цены выполненной работы (оказанной услуги); соответствующего уменьшения цены выполненной работы (оказанной услуги);,ALLOW,FAIR,"ALLOW,FAIR"
59,"сведения о лишении родительских прав, восстановлении в родительских правах, об ограничении родительских прав, отмене ограничения родительских прав, отобрании ребенка при непосредственной угрозе его жизни или здоровью, оставлении ребенка (детей) в родильном доме (отделении) или иной медицинской организации, о наличии письменного согласия матери (отца) на усыновление ребенка (за исключением согласия на его усыновление отчимом (мачехой);",DEC,NON,"DEC,NON"
60,"Комплексное экологическое разрешение подлежит пересмотру частично или полностью в случаях изменения технологических процессов основных производств, замены оборудования, сырья, повлекших за собой изменение установленных объема или массы выбросов загрязняющих веществ, сбросов загрязняющих веществ, лимитов на размещение отходов производства и потребления.",DEC,NON,"DEC,NON"
61,"Те же действия, совершенные родителями или иными законными представителями несовершеннолетних, за исключением случаев, предусмотренных частью 2 статьи 6.18 настоящего Кодекса, а также лицами, на которых возложены обязанности по обучению и воспитанию несовершеннолетних, - влекут наложение административного штрафа в размере от четырех тысяч до пяти тысяч рублей.",BAN,CARE,"BAN,CARE"
62,"Российское объединение инкассации Банка России - для охраны денежных средств, драгоценных металлов, внутренних ценных бумаг и валютных ценностей при их транспортировании (перевозке), инкассации наличных денежных средств, а также для охраны объектов Российского объединения инкассации Банка России и объектов Банка России, предназначенных для хранения такого имущества;",ALLOW,CARE,"ALLOW,CARE"
63,"В случае необходимости установления личности заявителя срок, указанный в частях первой и второй настоящей статьи, продлевается на срок, необходимый для установления личности заявителя, но не более чем на три месяца.",ALLOW,NON,"ALLOW,NON"
64,"Владельцы приютов для животных и уполномоченные ими лица должны соблюдать общие требования к содержанию животных, а также следующие дополнительные требования: 2) осуществлять учет животных, маркирование неснимаемыми и несмываемыми метками поступивших в приюты для животных животных без владельцев и животных, от права собственности на которых владельцы отказались;",DUTY,CARE,"DUTY,CARE"
65,"Эксплуатация объектов капитального строительства осуществляется в соответствии с требованиями в области охраны окружающей среды, в том числе проводятся мероприятия по сохранению и восстановлению природной среды, рациональному использованию природных ресурсов, обеспечению экологической безопасности, предотвращению негативного воздействия на окружающую среду, по рекультивации земель, и с учетом соблюдения нормативов качества окружающей среды.",DUTY,CARE,"DUTY,CARE"
66,Использование указанного оружия в иных не предусмотренных федеральным законом целях запрещается.,BAN,AUTH,"BAN,AUTH"
67,"Положением о государственной аккредитации образовательной деятельности в том числе устанавливаются: 1) порядок разработки, согласования и утверждения аккредитационных показателей;",OTHER,NON,"OTHER,NON"
68,"предоставлять работникам работу, обусловленную трудовым договором;",DUTY,FAIR,"DUTY,FAIR"
69,"Комплексное экологическое разрешение подлежит отзыву в случае нарушения в течение шести месяцев и более установленных комплексным экологическим разрешением обязательных требований при осуществлении деятельности без его пересмотра в случаях, предусмотренных пунктом 14 настоящей статьи, а также в случае снятия объекта, оказывающего негативное воздействие на окружающую среду, с государственного учета объектов, оказывающих негативное воздействие на окружающую среду.",DEC,NON,"DEC,NON"
70,адрес места жительства;,DEC,NON,"DEC,NON"
71,"Потребитель вправе потребовать также полного возмещения убытков, причиненных ему в связи с недостатками выполненной работы (оказанной услуги).",ALLOW,FAIR,"ALLOW,FAIR"
72,"Для рассмотрения заявления о переустройстве и (или) перепланировке помещения в многоквартирном доме орган, осуществляющий согласование, по месту нахождения переустраиваемого и (или) перепланируемого помещения в многоквартирном доме запрашивает следующие документы (их копии или содержащиеся в них сведения), если они не были представлены заявителем по собственной инициативе: 1) правоустанавливающие документы на переустраиваемое и (или) перепланируемое помещение в многоквартирном доме, если право на него зарегистрировано в Едином государственном реестре недвижимости;",DUTY,NON,"DUTY,NON"
73,"В настоящем Федеральном законе используются следующие основные понятия: потребление озоноразрушающих веществ в Российской Федерации - количество произведенных в Российской Федерации озоноразрушающих веществ и ввезенных в Российскую Федерацию озоноразрушающих веществ, за исключением количества озоноразрушающих веществ, которые: произведены в Российской Федерации и подлежат уничтожению с применением технологий, утвержденных в порядке, установленном международными договорами Российской Федерации;",DEF,NON,"DEF,NON"
74,"Заявителю выдается расписка в получении от заявителя документов с указанием их перечня и даты их получения органом, осуществляющим перевод помещений, а также с указанием перечня сведений и документов, которые будут получены по межведомственным запросам.",DUTY,NON,"DUTY,NON"
75,"1. Переустройство и (или) перепланировка помещения в многоквартирном доме проводятся с соблюдением требований законодательства по согласованию с органом местного самоуправления (далее - орган, осуществляющий согласование) на основании принятого им решения.",DUTY,NON,"DUTY,NON"
76,"Орган, уполномоченный в области ведения реестра, не позднее чем через десять дней со дня получения представления уполномоченного Правительством Российской Федерации федерального органа исполнительной власти по взаимодействию с казачьими обществами принимает решение о внесении всероссийского казачьего общества в государственный реестр казачьих обществ в Российской Федерации и не позднее трех рабочих дней со дня принятия указанного решения выдает атаману всероссийского казачьего общества свидетельство о внесении казачьего общества в государственный реестр казачьих обществ в Российской Федерации по форме, утвержденной органом, уполномоченным в области ведения реестра.",DEC,AUTH,"DEC,AUTH"
77,"8. Если для использования помещения в качестве жилого или нежилого помещения требуется проведение его переустройства, и (или) перепланировки, и (или) иных работ, документ, указанный в части 5 настоящей статьи, является основанием проведения соответствующих переустройства, и (или) перепланировки с учетом проекта переустройства и (или) перепланировки, представлявшегося заявителем в соответствии с пунктом 5 части 2 настоящей статьи, и (или) иных работ с учетом перечня таких работ, указанных в предусмотренном частью 5 настоящей статьи документе.",DEC,NON,"DEC,NON"
78,"В случае рождения ребенка у родителей, не состоящих в браке между собой, и при отсутствии совместного заявления родителей или заявления отца ребенка (пункт 4 статьи 48 настоящего Кодекса) происхождение ребенка от конкретного лица (отцовство) устанавливается в судебном порядке по заявлению одного из родителей, опекуна (попечителя) ребенка или по заявлению лица, на иждивении которого находится ребенок, а также по заявлению самого ребенка по достижении им совершеннолетия.",DEC,CARE,"DEC,CARE"
79,"Неустранимые сомнения при рассмотрении судом споров о признании отношений, возникших на основании гражданско-правового договора, трудовыми отношениями толкуются в пользу наличия трудовых отношений.",DEC,NON,"DEC,NON"
